param,coef,boot_se,z,p_value,ci_2.5,ci_97.5
B_TT,-0.710076972801201,0.0015752868755443833,-450.76041946697137,0.0,-0.010004715984180247,-0.0046364060816341725
B_CO,-0.25287476565858735,0.00038265762091909593,-660.838179705434,0.0,-0.0032183941006696313,-0.0017319106565326944
B_HE,-0.12289269628838027,0.0001878460730545641,-654.2202042875995,0.0,-0.0015253319274254418,-0.0008921085537391892
B_SEATS,0.0800184317362667,0.09272195152916758,0.8629933949469912,0.38814109850699197,-0.05617323963196516,0.26116534981134293
ASC_SM,1.616957945968427,0.3764503253107215,4.29527573029401,1.744763430489016e-05,1.0062765886570066,2.3398258313181772
ASC_CAR,-0.04925139037546686,0.35800462693632173,-0.13757193809740118,0.89057873476561,-0.7984175218101697,0.6606827107811353
G_SM:FIRST,0.1955913673641551,0.14838288652128562,1.3181531371280975,0.18745238951146748,0.30116891774277227,0.7905450468557661
G_SM:MALE,0.4800683367796279,0.2812980584326921,1.7066180245054792,0.08789307275669445,-1.7155394121037897,-0.709131117585963
G_SM:AGE_2,0.7020603398522508,0.2726463369279436,2.5749854106339782,0.010024431490525565,-1.2319825508544082,-0.24985038309201493
G_SM:AGE_3,0.6194973973038547,0.2989465051920323,2.0722684043618846,0.03824041724857352,-0.913418385044376,0.23434577531617445
G_SM:AGE_4,0.16561621800312853,0.3063237045566415,0.5406575316880345,0.58874365543336,-1.8324433901761645,-0.7353989613501156
G_SM:AGE_5,-1.0640566378759766,0.18103500980031648,-5.877629078760193,4.161841760108587e-09,0.41438666403120794,1.00064488373463
G_SM:AGE_6,0.0,0.23258301326353295,0.0,1.0,0.26574434242747874,1.1036015400806216
G_SM:INCOME_1,-1.2722744018232666,0.2552838274762462,-4.983764206299555,6.235906531149027e-07,-0.22675777069005607,0.693881120888484
G_SM:INCOME_2,-0.8024321842357556,0.2703584730219368,-2.968030464392535,0.002997146236804582,-1.4775126968858892,-0.6159266371665495
G_SM:INCOME_3,-0.5303267503196865,3.387607712450221e-16,0.0,1.0,-0.5303267503196865,-0.5303267503196865
G_SM:INCOME_4,-1.3730806011379435,0.23278012800577755,-5.898616058428596,3.665630909921447e-09,-1.2022821283431184,-0.32703572761247507
G_SM:PURPOSE_2,-0.555793960009646,0.2157115151947104,-2.5765613834197154,0.009978848577297583,-0.9841781137277356,-0.1560788847011189
